C,Penalty,Loss,Precision,Recall,F1 Score,Training Time,Prediction Time,Accuracy
0.17,l1,,0.8695486573985908,0.9061321690811669,0.887463556851312,0.8402678966522217,0.0008287429809570312,0.8842
0.171,l1,,0.8693830921553694,0.9061321690811669,0.8873773199883392,1.0513331890106201,0.000843048095703125,0.8841
0.172,l1,,0.8691677775661779,0.9057352649335185,0.8870748299319728,0.9562637805938721,0.0007922649383544922,0.8838
0.173,l1,,0.8694989521813679,0.9057352649335185,0.8872472783825818,0.8291358947753906,0.0008130073547363281,0.884
0.174,l1,,0.869639794168096,0.9055368128596943,0.887225354851254,1.1495141983032227,0.0008478164672851562,0.884
0.175,l1,,0.8697807435653003,0.9053383607858703,0.8872034227926878,0.9585013389587402,0.0008227825164794922,0.884
0.176,l1,,0.8697807435653003,0.9053383607858703,0.8872034227926878,1.2722618579864502,0.0027937889099121094,0.884
0.177,l1,,0.8696646341463414,0.9057352649335185,0.8873335277534752,0.9850943088531494,0.0008969306945800781,0.8841
0.178,l1,,0.870020964360587,0.9059337170073427,0.8876142329379739,0.9648420810699463,0.000782012939453125,0.8844
0.179,l1,,0.870020964360587,0.9059337170073427,0.8876142329379739,1.136286973953247,0.0008571147918701172,0.8844
0.18,l1,,0.870020964360587,0.9059337170073427,0.8876142329379739,0.7909629344940186,0.0007979869842529297,0.8844
0.181,l1,,0.870045731707317,0.9061321690811669,0.8877223680373286,0.7632889747619629,0.0008599758148193359,0.8845
0.182,l1,,0.8702115494568324,0.9061321690811669,0.8878086719813338,0.9146580696105957,0.0008599758148193359,0.8846
0.183,l1,,0.8702115494568324,0.9061321690811669,0.8878086719813338,0.898345947265625,0.0008480548858642578,0.8846
0.184,l1,,0.8703774304231796,0.9061321690811669,0.8878949927078269,0.9422180652618408,0.0008420944213867188,0.8847
0.185,l1,,0.8706847224871257,0.9059337170073427,0.8879595409453414,1.326383113861084,0.00078582763671875,0.8848
0.186,l1,,0.8710169814920816,0.9059337170073427,0.8881322957198443,1.0100018978118896,0.0008530616760253906,0.885
0.187,l1,,0.8714913118197442,0.9057352649335185,0.888283378746594,0.9954559803009033,0.0008459091186523438,0.8852
0.188,l1,,0.8718242597898759,0.9057352649335185,0.8884562974498735,1.0327329635620117,0.0008499622344970703,0.8854
0.189,l1,,0.8720152817574021,0.9059337170073427,0.8886509635974303,1.2335789203643799,0.00080108642578125,0.8856
0.19,l1,,0.8721330275229358,0.9055368128596943,0.888521078765456,1.1537010669708252,0.0014808177947998047,0.8855
0.191,l1,,0.8724665391969407,0.9055368128596943,0.8886941279579317,1.0413179397583008,0.0008628368377685547,0.8857
0.192,l1,,0.8724909195182565,0.9057352649335185,0.8888023369036028,1.201927900314331,0.0007829666137695312,0.8858
0.193,l1,,0.8726333907056799,0.9055368128596943,0.8887806778340476,1.195789098739624,0.0007822513580322266,0.8858
0.194,l1,,0.8726090283091048,0.9053383607858703,0.888672445699815,1.1283740997314453,0.0008540153503417969,0.8857
0.195,l1,,0.8725602755453502,0.9049414566382219,0.8884559181685339,1.1918129920959473,0.0007910728454589844,0.8855
